El Salvador,1.1774,1.5,1.9,2.5,3.2,4.2,5.5,6.11,10.08,12.11,15.9,18.9,20.3214,23.1093,24.7617,26.8026,28.9971,33.8207,43.8,50.4912,54.6014,58.5986,62.8885,67.84588954422858,North America
Equatorial Guinea,0.132355,0.16526,0.321198,0.520524,0.84393,1.14979,1.27919,1.55712,1.82,2.13,6.0,11.5,13.9432,16.4,18.86,21.32,23.78,26.24,37.68685,49.1337,55.0013,60.5587,66.8193,71.5442814427579,Africa
Eritrea,0.136712,0.157815,0.22709,0.26367199999999996,0.30025399999999997,0.33683599999999997,0.37341799999999997,0.41,0.47,0.54,0.61,0.7,0.8,0.9,0.99,1.08373,1.17712,2.5,5.3,11.2,23.8002,25.0991,26.5942,26.231632196604572,Africa
Estonia,28.577,31.5275,41.52,45.32,53.2,61.45,63.51,66.19,70.58,72.5,74.1,76.5,78.3899,80.0043,84.2415,88.4097,87.2402,88.1025,89.357,90.2289,89.0583,90.9797,91.5202,93.1834,Europe
Eswatini,0.926192,1.28159,1.8162,2.43707,3.22869,3.69696,3.69654,4.1,6.85,8.94,11.04,18.13,20.7818,24.7,25.0,25.643,28.57,35.3,39.4,43.9,49.013,56.1988,58.2502,65.07959491472342,Africa
Ethiopia,0.0152638,0.0371624,0.0724023,0.105812,0.155335,0.21966,0.310593,0.37,0.45,0.54,0.75,1.1,2.9,4.6,7.7,13.8552,15.3669,15.6,15.9,16.0,16.0696,16.6981,19.3781,17.847972501824167,Africa
Faroe Islands,32.9164,43.247,53.2992,58.9126,66.5336,67.9026,69.3594,75.98,75.57,75.18,75.2,80.7322,85.3352,90.0,93.3,94.2,95.1087,97.582,99.01864610618976,100.0,100.0,100.0,100.0,100.0,Europe
Fiji,1.49685,1.85798,6.15265,6.72543,7.41294,8.45364,9.60004,10.8978,13.0,17.0,20.0,28.0,33.7424,35.2,37.4,42.5,49.42,65.78,68.9,77.1867,83.0267,81.9,85.2199,88.74803627561374,Oceania
Finland,37.2485,43.1054,62.43,69.22,72.39,74.48,79.66,80.78,83.67,82.49,86.89,88.71,89.88,91.5144,86.5304,86.4221,87.7036,87.4689,88.89,89.6074,92.1703,92.8081,92.9888,93.5139,Europe
France,14.3079,26.3259,30.18,36.14,39.15,42.87,46.87,66.09,70.68,71.58,77.28,77.82,81.44,81.9198,83.7511,78.006,79.2698,80.5025,82.0432,83.3397,84.7064,86.0955,85.3333,86.8364,Europe
French Polynesia,6.35706,6.25159,8.20022,14.1243,17.8845,21.5422,25.108,28.59,33.87,44.6,49.0,49.0,52.8766,56.8,60.68,64.5602,68.4404,72.7039,76.95185721357541,81.28001397762344,85.69100764348283,90.18483821115368,94.76150568063588,99.4210100519295,Oceania
Gabon,1.21614,1.34762,1.93953,2.65959,2.97907,4.89326,5.4892,5.767,7.5,9.5,13.0,18.0,24.0,30.538,38.0712,45.7845,48.0523,50.3201,59.6,68.6855,72.2754,73.1414,73.6951,70.18314554399238,Africa
